2025-12-22 07:38:38 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_files:189 | Listed 8 files in path: /
2025-12-22 09:12:21 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 10:43:33 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:08:57 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 11:08:57 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 11:08:57 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 11:08:57 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 11:08:57 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 11:09:07 | INFO     | AI_Doc_Analyzer.__main__:main:33 | Starting AI Document Analyzer application
2025-12-22 11:09:07 | DEBUG    | AI_Doc_Analyzer.__main__:main:45 | QApplication created successfully
2025-12-22 11:09:07 | DEBUG    | AI_Doc_Analyzer.__main__:main:52 | Creating main window
2025-12-22 11:09:09 | INFO     | AI_Doc_Analyzer.__main__:main:55 | Main window displayed
2025-12-22 11:09:09 | INFO     | AI_Doc_Analyzer.__main__:main:58 | Entering application event loop
2025-12-22 11:09:42 | INFO     | AI_Doc_Analyzer.connectors.box_connector:connect:74 | Box connection established successfully
2025-12-22 11:09:43 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_folders:120 | Listed 0 folders in path: /
2025-12-22 11:09:43 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_files:189 | Listed 8 files in path: /
2025-12-22 11:11:57 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:20:36 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 11:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 11:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 11:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 11:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 11:30:51 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 11:30:51 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 11:30:51 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 11:30:51 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 11:30:51 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 11:31:06 | INFO     | AI_Doc_Analyzer.__main__:main:33 | Starting AI Document Analyzer application
2025-12-22 11:31:06 | DEBUG    | AI_Doc_Analyzer.__main__:main:45 | QApplication created successfully
2025-12-22 11:31:06 | DEBUG    | AI_Doc_Analyzer.__main__:main:52 | Creating main window
2025-12-22 11:31:07 | INFO     | AI_Doc_Analyzer.__main__:main:55 | Main window displayed
2025-12-22 11:31:07 | INFO     | AI_Doc_Analyzer.__main__:main:58 | Entering application event loop
2025-12-22 11:31:14 | INFO     | AI_Doc_Analyzer.connectors.box_connector:connect:74 | Box connection established successfully
2025-12-22 11:31:14 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_folders:120 | Listed 0 folders in path: /
2025-12-22 11:31:14 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_files:189 | Listed 8 files in path: /
2025-12-22 11:31:32 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:35:46 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 11:35:46 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 11:35:46 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 11:35:46 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 11:35:46 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 11:35:56 | INFO     | AI_Doc_Analyzer.__main__:main:33 | Starting AI Document Analyzer application
2025-12-22 11:35:56 | DEBUG    | AI_Doc_Analyzer.__main__:main:45 | QApplication created successfully
2025-12-22 11:35:56 | DEBUG    | AI_Doc_Analyzer.__main__:main:52 | Creating main window
2025-12-22 11:35:57 | INFO     | AI_Doc_Analyzer.__main__:main:55 | Main window displayed
2025-12-22 11:35:57 | INFO     | AI_Doc_Analyzer.__main__:main:58 | Entering application event loop
2025-12-22 11:36:19 | INFO     | AI_Doc_Analyzer.connectors.box_connector:connect:74 | Box connection established successfully
2025-12-22 11:36:20 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_folders:120 | Listed 0 folders in path: /
2025-12-22 11:36:20 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_files:189 | Listed 8 files in path: /
2025-12-22 11:36:42 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:39:08 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:40:24 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:41:08 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:41:29 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:42:41 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:44:04 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:44:39 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 11:45:48 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2026-01-01 21:08:22 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2026-01-01 21:08:22 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2026-01-01 21:08:22 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2026-01-01 21:08:22 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2026-01-01 21:08:22 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2026-01-01 21:09:00 | INFO     | AI_Doc_Analyzer.__main__:main:33 | Starting AI Document Analyzer application
2026-01-01 21:09:01 | DEBUG    | AI_Doc_Analyzer.__main__:main:45 | QApplication created successfully
2026-01-01 21:09:01 | DEBUG    | AI_Doc_Analyzer.__main__:main:52 | Creating main window
2026-01-01 21:09:03 | INFO     | AI_Doc_Analyzer.__main__:main:55 | Main window displayed
2026-01-01 21:09:03 | INFO     | AI_Doc_Analyzer.__main__:main:58 | Entering application event loop
2026-01-02 07:56:15 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2026-01-02 07:56:15 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2026-01-02 07:56:15 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2026-01-02 07:56:15 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2026-01-02 07:56:15 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
